"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Greg Olsen","SEA","DAL","TE","$4200","5.9","-5.4","1%","15457498"
"Ronald Jones II","TB","DEN","RB","$5000","7.4","-5.5","1%","15456926"
"Rob Gronkowski","TB","DEN","TE","$3300","4.0","-5.6","1%","15457528"
"Foster Moreau","LV","NE","TE","$2500","2.2","-5.7","1%","15457686"
"Frank Gore","NYJ","IND","RB","$4400","6.0","-5.7","1%","15456954"
"Carlos Hyde","SEA","DAL","RB","$4300","5.9","-5.7","1%","15456960"
"Brian Hill","ATL","CHI","RB","$4000","5.2","-5.8","1%","15457090"
"Zay Jones","LV","NE","WR","$3000","3.2","-5.8","1%","15457464"
"DaeSean Hamilton","DEN","TB","WR","$3200","3.5","-5.9","1%","15457298"
"Kenny Stills","HOU","PIT","WR","$3700","4.4","-5.9","1%","15457268"
"Virgil Green","LAC","CAR","TE","$2500","2.1","-5.9","0%","15457612"
"KhaDarel Hodge","CLE","WAS","WR","$3800","4.5","-6.0","1%","15457256"
"T.J. Yeldon","BUF","LA","RB","$4000","4.8","-6.1","0%","15457030"
"Nick Vannett","DEN","TB","TE","$2500","1.9","-6.1","0%","15457574"
"La'Mical Perine","NYJ","IND","RB","$4000","4.8","-6.1","1%","15457006"
"JJ Arcega-Whiteside","PHI","CIN","WR","$3000","2.9","-6.1","1%","15457436"
